                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5205,                 2.5297,                  1.336,                 1.6635,                0.87976,                0.68617,                0.74726,                0.40595,                0.81786,                 0.6383,                0.65474,                0.30607,                 1.5838,                 2.8031,                 1.0701,                 2.1122,             0.00066358,             0.00066358,             0.00066358
                      2,                 1.5578,                 2.6645,                 1.3967,                 1.6907,                0.76703,                0.68298,                0.73307,                0.38927,                 0.7689,                0.64096,                0.69231,                 0.3162,                  1.562,                 2.6933,                 1.1734,                 2.0677,              0.0012425,              0.0012425,              0.0012425
                      3,                 1.6058,                 2.7256,                 1.4574,                 1.7342,                0.84504,                0.64096,                0.71323,                0.39543,                0.83851,                0.63525,                0.68862,                0.33051,                 1.5516,                 2.7436,                 1.1647,                  2.076,              0.0017333,              0.0017333,              0.0017333
                      4,                 1.5956,                 2.6259,                 1.3962,                 1.7128,                0.81797,                0.61702,                0.71756,                0.39311,                0.82572,                0.59973,                0.69077,                0.32495,                 1.5479,                 2.6471,                 1.2421,                 2.1057,               0.001604,               0.001604,               0.001604
                      5,                 1.5725,                 2.5883,                 1.3691,                 1.7164,                0.87266,                0.65426,                0.74503,                0.41461,                0.86117,                0.64628,                0.71712,                0.34322,                 1.5517,                 2.4345,                 1.0123,                 2.0735,               0.001472,               0.001472,               0.001472
                      6,                 1.5254,                 2.6776,                 1.2118,                 1.8099,                0.83872,                0.63032,                0.72021,                 0.3929,                0.83165,                  0.625,                0.69633,                0.33655,                 1.5656,                 3.1286,                 1.1658,                 2.1242,                0.00134,                0.00134,                0.00134
                      7,                 1.4875,                 2.5805,                 1.1744,                 1.7786,                0.84535,                0.67599,                0.76142,                0.42347,                0.84964,                0.66223,                0.73355,                0.35046,                 1.5293,                 2.4544,                 1.0016,                 2.0806,               0.001208,               0.001208,               0.001208
                      8,                 1.4552,                 2.5465,                 1.1542,                 1.7571,                0.88552,                 0.7141,                0.79345,                0.46348,                0.87729,                0.70479,                0.76213,                0.37458,                 1.4687,                  2.369,                0.92597,                  1.983,               0.001076,               0.001076,               0.001076
                      9,                 1.4131,                 2.5036,                 1.0934,                 1.7267,                0.87904,                0.71809,                0.78763,                0.45175,                0.87754,                0.70518,                0.75736,                0.37373,                 1.4905,                 2.6276,                 0.9293,                 2.0026,               0.000944,               0.000944,               0.000944
                     10,                  1.414,                 2.4781,                 1.0519,                 1.7166,                0.89935,                0.71543,                0.80316,                0.47266,                0.89859,                0.71011,                0.77289,                0.39273,                 1.4498,                 2.4605,                0.89189,                 1.9726,               0.000812,               0.000812,               0.000812
                     11,                 1.3927,                 2.4477,                 1.0117,                 1.6979,                    0.9,                0.71808,                 0.7948,                0.45984,                0.89899,                0.71144,                 0.7729,                0.37611,                 1.4708,                 2.3118,                0.91051,                 1.9832,                0.00068,                0.00068,                0.00068
                     12,                 1.3538,                 2.3607,                0.98097,                 1.6721,                0.91272,                0.72313,                0.80289,                 0.4849,                0.89921,                0.71181,                0.77276,                0.39507,                 1.4078,                 2.2923,                0.84556,                 1.9302,               0.000548,               0.000548,               0.000548
                     13,                 1.3247,                 2.3102,                0.94777,                 1.6437,                0.90104,                0.75798,                0.81462,                0.49639,                0.88465,                0.74335,                0.77785,                0.41029,                 1.3988,                 2.3829,                 0.8155,                 1.9202,               0.000416,               0.000416,               0.000416
                     14,                 1.3015,                 2.3041,                0.93244,                 1.6281,                0.93311,                0.72606,                0.81962,                0.49631,                0.92977,                0.72473,                0.79496,                0.41742,                 1.3937,                 2.2612,                0.81329,                  1.924,               0.000284,               0.000284,               0.000284
                     15,                  1.276,                   2.26,                0.89795,                  1.601,                0.91602,                 0.7367,                 0.8214,                0.50174,                0.90512,                0.72311,                0.77906,                 0.4096,                 1.3996,                 2.3833,                0.80139,                 1.9283,               0.000152,               0.000152,               0.000152
